frame,vehicle_1,vehicle_2,distance,speed_vehicle_1,speed_vehicle_2
1,3,5,36.72,129.45,144.45
1,5,7,47.54,144.45,24.55
1,5,8,21.84,144.45,115.47
1,7,8,25.71,24.55,115.47
2,3,5,47.42,129.45,144.45
2,5,7,35.44,144.45,24.55
2,5,8,9.85,144.45,115.47
2,7,8,25.71,24.55,115.47
3,5,7,29.73,144.45,24.55
3,5,8,3.61,144.45,115.47
3,7,8,26.25,24.55,115.47
4,5,7,26.93,144.45,24.55
4,5,8,2.24,144.45,115.47
4,7,8,25.3,24.55,115.47
5,7,8,27.31,24.55,115.47
6,7,8,28.79,24.55,115.47
7,1,15,2.24,136.9,136.65
7,7,8,28.3,24.55,115.47
8,1,15,8.54,136.9,136.65
8,3,8,49.19,129.45,115.47
8,7,8,32.2,24.55,115.47
9,1,15,8.06,136.9,136.65
9,3,8,43.57,129.45,115.47
9,4,18,3.61,203.24,194.79
9,7,8,30.61,24.55,115.47
10,3,8,45.97,129.45,115.47
10,4,18,1.0,203.24,194.79
10,7,8,27.8,24.55,115.47
11,3,8,47.63,129.45,115.47
11,7,8,24.84,24.55,115.47
12,7,8,23.85,24.55,115.47
13,18,4,4.24,194.79,203.24
33,18,36,4.12,194.79,433.94
33,18,37,3.0,194.79,130.35
33,36,37,1.41,433.94,130.35
34,36,37,1.41,433.94,130.35
35,36,37,1.0,433.94,130.35
36,36,37,0.0,433.94,130.35
130,56,75,24.74,80.48,13.79
130,58,74,35.23,87.79,112.54
131,56,75,24.74,80.48,13.79
131,58,74,36.35,87.79,112.54
132,56,75,24.33,80.48,13.79
132,56,77,2.0,80.48,42.71
132,58,74,39.32,87.79,112.54
132,75,77,26.31,13.79,42.71
133,56,75,24.19,80.48,13.79
133,56,77,1.0,80.48,42.71
133,58,74,48.17,87.79,112.54
133,75,77,25.18,13.79,42.71
134,56,77,1.41,80.48,42.71
135,56,77,1.0,80.48,42.71
136,56,77,1.0,80.48,42.71
137,56,77,2.0,80.48,42.71
138,56,77,2.24,80.48,42.71
138,56,75,27.2,80.48,13.79
138,77,75,29.41,42.71,13.79
139,56,77,3.16,80.48,42.71
139,56,75,26.93,80.48,13.79
139,77,75,30.08,42.71,13.79
140,56,75,28.16,80.48,13.79
141,56,75,28.46,80.48,13.79
142,56,75,27.89,80.48,13.79
143,56,75,27.89,80.48,13.79
144,56,75,30.87,80.48,13.79
144,56,74,46.1,80.48,112.54
144,58,88,24.08,87.79,62.56
145,56,75,32.76,80.48,13.79
145,56,74,37.59,80.48,112.54
145,56,90,23.09,80.48,62.48
145,58,88,24.0,87.79,62.56
145,74,90,47.71,112.54,62.48
146,56,75,31.78,80.48,13.79
146,56,74,43.83,80.48,112.54
146,56,90,21.93,80.48,62.48
146,58,88,21.21,87.79,62.56
147,56,75,30.68,80.48,13.79
147,56,74,46.52,80.48,112.54
147,56,90,26.08,80.48,62.48
147,58,88,22.56,87.79,62.56
148,56,75,31.02,80.48,13.79
148,56,74,41.15,80.48,112.54
148,58,88,16.16,87.79,62.56
148,75,74,49.24,13.79,112.54
149,56,75,31.76,80.48,13.79
149,56,74,35.78,80.48,112.54
149,56,90,26.0,80.48,62.48
149,58,88,12.08,87.79,62.56
149,75,74,48.51,13.79,112.54
149,74,90,45.65,112.54,62.48
150,56,75,32.45,80.48,13.79
150,56,74,33.54,80.48,112.54
150,56,90,27.51,80.48,62.48
150,58,88,10.63,87.79,62.56
150,75,74,49.48,13.79,112.54
150,74,90,46.07,112.54,62.48
151,56,75,35.38,80.48,13.79
151,56,74,26.93,80.48,112.54
151,56,90,27.29,80.48,62.48
151,75,74,48.51,13.79,112.54
151,74,90,45.19,112.54,62.48
152,56,75,38.42,80.48,13.79
152,56,90,29.02,80.48,62.48
153,56,75,40.0,80.48,13.79
153,56,90,28.07,80.48,62.48
154,56,75,42.44,80.48,13.79
154,56,90,28.16,80.48,62.48
155,56,75,45.28,80.48,13.79
155,56,90,30.08,80.48,62.48
155,53,99,21.38,47.1,28.55
156,56,75,43.05,80.48,13.79
156,56,90,29.61,80.48,62.48
156,69,88,45.8,88.97,62.56
156,53,99,20.4,47.1,28.55
157,56,75,44.78,80.48,13.79
157,56,90,26.93,80.48,62.48
157,53,99,21.38,47.1,28.55
158,56,75,44.78,80.48,13.79
158,56,90,27.51,80.48,62.48
158,53,99,19.1,47.1,28.55
159,56,75,46.53,80.48,13.79
159,56,90,28.46,80.48,62.48
159,53,99,19.42,47.1,28.55
160,56,75,46.52,80.48,13.79
160,56,90,29.83,80.48,62.48
161,56,75,41.68,80.48,13.79
161,56,90,25.5,80.48,62.48
162,56,75,49.66,80.48,13.79
162,56,90,26.17,80.48,62.48
163,56,90,26.31,80.48,62.48
164,56,90,27.29,80.48,62.48
165,56,90,26.48,80.48,62.48
166,56,90,27.46,80.48,62.48
167,56,75,47.41,80.48,13.79
167,56,90,26.68,80.48,62.48
168,45,111,47.76,45.3,26.88
168,56,75,43.91,80.48,13.79
168,56,90,28.16,80.48,62.48
169,45,111,42.15,45.3,26.88
169,56,75,43.91,80.48,13.79
169,56,90,27.51,80.48,62.48
170,45,111,47.17,45.3,26.88
170,56,75,47.54,80.48,13.79
170,56,90,31.78,80.48,62.48
170,69,88,47.51,88.97,62.56
171,45,111,49.4,45.3,26.88
171,56,90,36.01,80.48,62.48
171,69,88,43.57,88.97,62.56
172,56,90,26.0,80.48,62.48
172,69,88,47.01,88.97,62.56
173,45,111,47.42,45.3,26.88
173,56,90,22.0,80.48,62.48
174,45,111,42.94,45.3,26.88
174,56,90,23.54,80.48,62.48
174,69,88,49.66,88.97,62.56
175,56,90,26.02,80.48,62.48
176,56,90,27.2,80.48,62.48
177,56,90,29.73,80.48,62.48
178,56,90,29.97,80.48,62.48
179,56,90,22.36,80.48,62.48
180,56,90,14.0,80.48,62.48
181,56,90,11.0,80.48,62.48
182,56,90,20.1,80.48,62.48
183,56,90,20.02,80.48,62.48
184,56,90,18.11,80.48,62.48
185,56,90,20.02,80.48,62.48
186,56,90,17.03,80.48,62.48
187,56,90,21.38,80.48,62.48
188,56,90,24.19,80.48,62.48
189,56,90,22.09,80.48,62.48
190,56,90,19.03,80.48,62.48
194,56,90,23.09,80.48,62.48
195,56,90,23.09,80.48,62.48
196,56,90,20.22,80.48,62.48
197,56,90,24.0,80.48,62.48
198,56,90,28.07,80.48,62.48
199,56,90,30.07,80.48,62.48
200,56,90,30.15,80.48,62.48
201,56,90,30.15,80.48,62.48
202,56,90,27.17,80.48,62.48
203,56,90,28.07,80.48,62.48
204,56,90,29.15,80.48,62.48
205,56,90,30.41,80.48,62.48
206,56,90,32.76,80.48,62.48
207,56,90,28.64,80.48,62.48
208,56,90,28.86,80.48,62.48
209,56,90,27.66,80.48,62.48
210,56,90,26.68,80.48,62.48
211,56,90,24.19,80.48,62.48
212,56,90,24.08,80.48,62.48
213,56,90,26.17,80.48,62.48
214,56,90,25.32,80.48,62.48
215,56,90,26.08,80.48,62.48
216,56,90,23.09,80.48,62.48
217,56,90,20.1,80.48,62.48
218,56,90,19.1,80.48,62.48
219,56,90,19.1,80.48,62.48
220,56,90,21.21,80.48,62.48
238,56,90,13.04,80.48,62.48
241,56,90,24.17,80.48,62.48
242,56,90,25.08,80.48,62.48
243,56,90,32.57,80.48,62.48
244,56,90,34.0,80.48,62.48
245,56,90,29.07,80.48,62.48
246,56,90,34.13,80.48,62.48
262,172,175,33.02,44.59,52.32
263,172,175,32.0,44.59,52.32
264,172,175,33.02,44.59,52.32
265,172,175,33.02,44.59,52.32
266,172,175,33.02,44.59,52.32
363,223,228,20.22,203.59,199.85
364,223,228,8.6,203.59,199.85
365,223,228,10.3,203.59,199.85
366,223,228,18.03,203.59,199.85
367,223,228,37.11,203.59,199.85
372,224,235,19.42,162.94,172.38
377,235,242,22.8,172.38,71.16
378,235,242,23.19,172.38,71.16
379,235,242,21.02,172.38,71.16
380,235,242,15.0,172.38,71.16
381,235,242,20.0,172.38,71.16
385,244,256,25.08,102.06,133.44
386,244,256,27.07,102.06,133.44
387,244,256,23.54,102.06,133.44
388,244,256,24.19,102.06,133.44
389,244,256,19.24,102.06,133.44
389,246,261,10.44,101.97,187.1
391,246,261,15.3,101.97,187.1
392,246,261,12.17,101.97,187.1
397,255,266,15.0,82.8,36.2
398,255,266,14.0,82.8,36.2
